artifact_id,old_path,new_path,artifact_class,step_id,status,disposition,target_path_status,object_type,sha256,size_bytes,license_id,duplicate_group_size,canonical_artifact_id,reason
dataset-artifact-42579d3ff92cf96d54123f2a,processing,provenance/artifact-inventory.csv#dataset-artifact-42579d3ff92cf96d54123f2a,directory-entry,step-04,not_applicable,excluded,manifest_only,dir,,0,NOASSERTION,1,dataset-artifact-42579d3ff92cf96d54123f2a,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.
dataset-artifact-21d8c8d4f4dd21af000c888d,processing/_needs_review,provenance/artifact-inventory.csv#dataset-artifact-21d8c8d4f4dd21af000c888d,directory-entry,step-04,not_applicable,excluded,manifest_only,dir,,0,NOASSERTION,1,dataset-artifact-21d8c8d4f4dd21af000c888d,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.
dataset-artifact-1993cfafab829b00f457937c,processing/_needs_review/derived,provenance/artifact-inventory.csv#dataset-artifact-1993cfafab829b00f457937c,directory-entry,step-04,not_applicable,excluded,manifest_only,dir,,0,NOASSERTION,1,dataset-artifact-1993cfafab829b00f457937c,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.
dataset-artifact-778844dc89d5d6a16e6e5354,processing/_needs_review/derived/csv,provenance/artifact-inventory.csv#dataset-artifact-778844dc89d5d6a16e6e5354,directory-entry,step-04,not_applicable,excluded,manifest_only,dir,,0,NOASSERTION,1,dataset-artifact-778844dc89d5d6a16e6e5354,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.
dataset-artifact-e576f571743b2c0156f8c93e,processing/_needs_review/derived/csv-smoke,provenance/artifact-inventory.csv#dataset-artifact-e576f571743b2c0156f8c93e,directory-entry,step-04,not_applicable,excluded,manifest_only,dir,,0,NOASSERTION,1,dataset-artifact-e576f571743b2c0156f8c93e,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.
dataset-artifact-55066ed8f716d7d4f699c586,processing/_needs_review/derived/csv-smoke/manifests,provenance/artifact-inventory.csv#dataset-artifact-55066ed8f716d7d4f699c586,directory-entry,step-04,not_applicable,excluded,manifest_only,dir,,0,NOASSERTION,1,dataset-artifact-55066ed8f716d7d4f699c586,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.
dataset-artifact-05dc61ed0b7c799c52f3a4de,processing/_needs_review/derived/csv-smoke/manifests/export_partitions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/export_partitions.csv,legacy-needs-review,step-18,blocked_pending_audit,quarantined,planned_quarantine,file,e436f3a4e89e1afdb616ea538a52a05e4d611c74ecf17dfff1c30d7a1490d6ef,12364,NOASSERTION,1,dataset-artifact-05dc61ed0b7c799c52f3a4de,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs."
dataset-artifact-ca8d3ad1c7ddf9e41665e35c,processing/_needs_review/derived/csv-smoke/manifests/logical_dataset_members.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/logical_dataset_members.csv,legacy-needs-review,step-18,blocked_pending_audit,quarantined,planned_quarantine,file,ca3f2d586bcaaa1d8c821d2db125624cecec52032c51c839a91cb51bc13df366,19741,NOASSERTION,2,dataset-artifact-204bb234cb935bd69a54fccb,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs."
dataset-artifact-ce3710c5942c94410e2a5b49,processing/_needs_review/derived/csv-smoke/manifests/logical_datasets.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/logical_datasets.csv,legacy-needs-review,step-18,blocked_pending_audit,quarantined,planned_quarantine,file,68841e1340106932209864c215d2beca1d0c888d6a6681eae5e67123600c5863,10506,NOASSERTION,1,dataset-artifact-ce3710c5942c94410e2a5b49,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs."
dataset-artifact-b57f247ba0f2ca649f0f60c4,processing/_needs_review/derived/csv-smoke/manifests/merge_decisions.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/merge_decisions.csv,legacy-needs-review,step-18,blocked_pending_audit,quarantined,planned_quarantine,file,c08bef6473ecbd4434199a3a0f62f5fa59610c45873324afdec89474733b0800,4498,NOASSERTION,1,dataset-artifact-b57f247ba0f2ca649f0f60c4,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs."
dataset-artifact-4f5064b8eb0716aa2a891bfe,processing/_needs_review/derived/csv-smoke/manifests/source_evidence.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/source_evidence.csv,legacy-needs-review,step-18,blocked_pending_audit,quarantined,planned_quarantine,file,87218faacf8fc05699fe944e6d8835fc62cca26410aee25abdf19bab9c8d8407,79271,NOASSERTION,1,dataset-artifact-4f5064b8eb0716aa2a891bfe,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs."
dataset-artifact-f5eb9048e09b8a3e2e3a88d4,processing/_needs_review/derived/csv-smoke/manifests/validation_report.csv,intermediate/90-legacy-needs-review/source-tree/derived/csv-smoke/manifests/validation_report.csv,legacy-needs-review,step-18,blocked_pending_audit,quarantined,planned_quarantine,file,4e800c3caf902538a35bd65563b682b94ba2da8389586bbc125c50b2384b1bc2,93,NOASSERTION,2,dataset-artifact-4d3fe06a91e3e18ce471183d,"Object is under the legacy _needs_review boundary; it may be duplicated, obsolete or insufficiently licensed and cannot enter authoritative outputs."
dataset-artifact-a800f261db9dbfdd27401969,processing/_needs_review/derived/csv-smoke/tables,provenance/artifact-inventory.csv#dataset-artifact-a800f261db9dbfdd27401969,directory-entry,step-04,not_applicable,excluded,manifest_only,dir,,0,NOASSERTION,1,dataset-artifact-a800f261db9dbfdd27401969,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.
dataset-artifact-23692a9381a7f536c28a1b8b,processing/_needs_review/derived/csv-smoke/tables/logical_dataset_id=lit_10_1038_s41586_021_03213_y,provenance/artifact-inventory.csv#dataset-artifact-23692a9381a7f536c28a1b8b,directory-entry,step-04,not_applicable,excluded,manifest_only,dir,,0,NOASSERTION,1,dataset-artifact-23692a9381a7f536c28a1b8b,Directory metadata is retained in provenance; descendants are classified individually and the empty container is not copied as a standalone artifact.
