logical_dataset_id,directory_slug,display_name_en,display_name_zh,aliases_json,relationship,member_count,reaction_count,physical_dataset_ids_json,physical_source_files_json,source_dois_json,upstream_source_ids_json,source_evidence_types_json,naming_evidence,semantic_name_status,naming_policy_version,planned_dataset_path
lit_10_1038_s41586_021_03213_y,shields-bayesian-arylation,Shields Bayesian Arylation Optimization,Shields 贝叶斯芳基化优化,"[""lit_10_1038_s41586_021_03213_y"", ""Shields Arylation""]",same_publication,2,1984,"[""ord_dataset-0c75d67751634f0594b24b9f498b77c2"", ""ord_dataset-d26118acda314269becc35db5c22dc59""]","[""data/0c/ord_dataset-0c75d67751634f0594b24b9f498b77c2.parquet"", ""data/d2/ord_dataset-d26118acda314269becc35db5c22dc59.parquet""]",[],[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/shields-bayesian-arylation
lit_10_1038_s44160_023_00351_1,cernak-miniaturized-diversity-reactions,Cernak Miniaturized Diversity Reactions,Cernak 微型化多样性反应,"[""lit_10_1038_s44160_023_00351_1"", ""Cernak miniaturized N-alkylation with BOC deprotection"", ""Cernak miniaturized reductive amination"", ""Cernak miniaturized Suzuki Cross-Coupling 12x10 Informer Library"", ""10.1038/s44160-023-00351-1""]",same_publication,3,2696,"[""ord_dataset-172039a759a440219a68af62d203b79b"", ""ord_dataset-2be11f57f3304e678ea8469baf6dd1bc"", ""ord_dataset-3b8a2ef300e145468579027f206a3ac8""]","[""data/17/ord_dataset-172039a759a440219a68af62d203b79b.parquet"", ""data/2b/ord_dataset-2be11f57f3304e678ea8469baf6dd1bc.parquet"", ""data/3b/ord_dataset-3b8a2ef300e145468579027f206a3ac8.parquet""]","[""10.1038/s44160-023-00351-1""]",[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/cernak-miniaturized-diversity-reactions
lit_10_1039_c5sc04751j,chemistry-informer-libraries,Chemistry Informer Libraries,化学信息员库,"[""lit_10_1039_c5sc04751j"", ""Figure 4 from Chemistry informer libraries"", ""Pd_CN_Coupling_Informer_Library"", ""10.1039/c5sc04751j""]",same_publication,2,354,"[""ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6"", ""ord_dataset-d319c2a22ecf4ce59db1a18ae71d529c""]","[""data/4d/ord_dataset-4d431564f3ef4e9c91d8da5836f4eae6.parquet"", ""data/d3/ord_dataset-d319c2a22ecf4ce59db1a18ae71d529c.parquet""]","[""10.1039/c5sc04751j""]",[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/chemistry-informer-libraries
lit_10_1039_c6re00153j,reizman-suzuki-miyaura-feedback-optimization,Reizman Suzuki-Miyaura Feedback Optimization,Reizman Suzuki-Miyaura 反馈优化,"[""lit_10_1039_c6re00153j"", ""Reizman Suzuki Cross-Coupling"", ""10.1039/c6re00153j""]",same_publication,4,385,"[""ord_dataset-2038a3c967db4a32a8fbce288437e929"", ""ord_dataset-2be30f5d8dcd471aa6ad410bdee05902"", ""ord_dataset-31989f1b2b9d4885b1dd2d9982da4517"", ""ord_dataset-bc349c19b4384756a2aee8aa525b6c2a""]","[""data/20/ord_dataset-2038a3c967db4a32a8fbce288437e929.parquet"", ""data/2b/ord_dataset-2be30f5d8dcd471aa6ad410bdee05902.parquet"", ""data/31/ord_dataset-31989f1b2b9d4885b1dd2d9982da4517.parquet"", ""data/bc/ord_dataset-bc349c19b4384756a2aee8aa525b6c2a.parquet""]","[""10.1039/c6re00153j""]",[],"[""doi"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/reizman-suzuki-miyaura-feedback-optimization
lit_10_1126_science_1259203,science-hte-palladium-cross-coupling,Science HTE Palladium Cross-Coupling,Science 高通量钯催化交叉偶联,"[""lit_10_1126_science_1259203"", ""HTE Pd-catalyzed cross-coupling screen"", ""Pd-catalyzed Buchwald-Hartwig C-N cross-coupling"", ""10.1126/science.1259203""]",same_publication,2,1824,"[""ord_dataset-7d8f5fd922d4497d91cb81489b052746"", ""ord_dataset-cbcc4048add7468e850b6ec42549c70d""]","[""data/7d/ord_dataset-7d8f5fd922d4497d91cb81489b052746.parquet"", ""data/cb/ord_dataset-cbcc4048add7468e850b6ec42549c70d.parquet""]","[""10.1126/science.1259203""]",[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/science-hte-palladium-cross-coupling
lit_10_26434_chemrxiv_15001213,chemrxiv-decarboxylative-olefination-campaigns,ChemRxiv Decarboxylative Olefination Campaigns,ChemRxiv 脱羧烯烃化优化系列,"[""lit_10_26434_chemrxiv_15001213"", ""Bayesian optimization of 5 decarboxylative olefination reactions"", ""Transfer learning optimization of 26 decarboxylative olefination reactions"", ""10.26434/chemrxiv.15001213""]",same_publication,2,256,"[""ord_dataset-c703268ea43a4c7e802c6048b6166b34"", ""ord_dataset-dc0249930af34d17a3c76881a762aebf""]","[""data/c7/ord_dataset-c703268ea43a4c7e802c6048b6166b34.parquet"", ""data/dc/ord_dataset-dc0249930af34d17a3c76881a762aebf.parquet""]","[""10.26434/chemrxiv.15001213""]",[],"[""doi""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/chemrxiv-decarboxylative-olefination-campaigns
physical_00005539a1e04c809a9a78647bea649c,astrazeneca-eln-buchwald-hartwig-yields,AstraZeneca ELN Buchwald-Hartwig Yields,阿斯利康 ELN Buchwald-Hartwig 产率,"[""physical_00005539a1e04c809a9a78647bea649c"", ""750 AstraZeneca ELN dataset""]",independent,1,750,"[""ord_dataset-00005539a1e04c809a9a78647bea649c""]","[""data/00/ord_dataset-00005539a1e04c809a9a78647bea649c.parquet""]",[],[],"[""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/astrazeneca-eln-buchwald-hartwig-yields
physical_0316886541d9435489859c2ad7edc863,newman-styrene-mizoroki-heck,Newman Styrene Mizoroki-Heck,Newman 苯乙烯 Mizoroki-Heck 偶联,"[""physical_0316886541d9435489859c2ad7edc863"", ""Styrene Mizoroki-Heck""]",independent,1,96,"[""ord_dataset-0316886541d9435489859c2ad7edc863""]","[""data/03/ord_dataset-0316886541d9435489859c2ad7edc863.parquet""]",[],[],[],frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/newman-styrene-mizoroki-heck
physical_10b940e7982c4622b1e1ac879394aba6,imidazopyridine-three-component-synthesis,Imidazopyridine Three-Component Synthesis,咪唑并吡啶三组分合成,"[""physical_10b940e7982c4622b1e1ac879394aba6"", ""Imidazopyridines dataset""]",independent,1,384,"[""ord_dataset-10b940e7982c4622b1e1ac879394aba6""]","[""data/10/ord_dataset-10b940e7982c4622b1e1ac879394aba6.parquet""]",[],[],"[""patent""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/imidazopyridine-three-component-synthesis
physical_1158e351757f315b93cbcbe7bc55f38e,uspto-grants-reactions,USPTO Granted-Patent Reactions,USPTO 授权专利反应,"[""physical_1158e351757f315b93cbcbe7bc55f38e"", ""uspto-grants""]",independent,1,1771032,"[""ord_dataset-1158e351757f315b93cbcbe7bc55f38e""]","[""data/11/ord_dataset-1158e351757f315b93cbcbe7bc55f38e.parquet""]",[],[],"[""doi"", ""patent"", ""url""]",frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/uspto-grants-reactions
physical_1d3a1a6fb70d46c084602d0688967afc,newman-1-octene-mizoroki-heck,Newman 1-Octene Mizoroki-Heck,Newman 1-辛烯 Mizoroki-Heck 偶联,"[""physical_1d3a1a6fb70d46c084602d0688967afc"", ""1-octene Mizoroki-Heck""]",independent,1,96,"[""ord_dataset-1d3a1a6fb70d46c084602d0688967afc""]","[""data/1d/ord_dataset-1d3a1a6fb70d46c084602d0688967afc.parquet""]",[],[],[],frozen physical dataset name and description; logical membership; DOI/upstream-source evidence when available,approved_from_frozen_metadata,semantic-names-v1,datasets/corpus/newman-1-octene-mizoroki-heck
